latitud,cat_nom_catala,codi,espai_verd,adreca,catalogacio,nom_districte,tipus_element,cat_nom_castella,nom_barri,geom,cat_nom_cientific,x_etrs89,data_plantacio,codi_barri,longitud,codi_districte,tipus_reg,categoria_arbrat,cat_especie_id,tipus_aigua,y_etrs89,_id
41.4366530,washingtònia de Califòrnia,0000639AR,"Central de Nou Barris, Parc","Pl Major de Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430772.469838504 4587562.83021905),Washingtonia filifera,430772.470,,48,2.1713686,8,GOTEIG,EXEMPLAR,620,,4587562.830,39
41.4354739,Tipuana,0001140AR,"Central de Nou Barris, Parc","Pg Urrutia, 70",,NOU BARRIS,ARBRE ZONA,Palo rosa; tipa blanca,CAN PEGUERA,POINT (430486.201119027 4587434.66485769),Tipuana tipu,430486.201,,47,2.1679571,8,DIFUSIÓ,EXEMPLAR,563,,4587434.665,40
41.4355058,Tipuana,0001141AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Palo rosa; tipa blanca,CAN PEGUERA,POINT (430487.531930301 4587438.19757457),Tipuana tipu,430487.532,,47,2.1679727,8,DIFUSIÓ,TERCERA,563,,4587438.198,41
41.4354578,Magnòlia,0001144AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430488.188118024 4587432.85922773),Magnolia grandiflora,430488.188,,47,2.1679811,8,DIFUSIÓ,SEGONA,694,,4587432.859,42
41.4355023,Magnòlia,0001145AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430490.523836318 4587437.77785463),Magnolia grandiflora,430490.524,,47,2.1680085,8,DIFUSIÓ,PRIMERA,694,,4587437.778,43
41.4358309,Tipuana,0001148AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 45",,NOU BARRIS,ARBRE ZONA,Palo rosa; tipa blanca,CAN PEGUERA,POINT (430481.665962319 4587474.3503523),Tipuana tipu,430481.666,,47,2.1678983,8,DIFUSIÓ,EXEMPLAR,563,,4587474.350,44
41.4354638,Magnòlia,0001150AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430497.238208586 4587433.43285316),Magnolia grandiflora,430497.238,,47,2.1680894,8,DIFUSIÓ,SEGONA,694,,4587433.433,45
41.4354713,Magnòlia,0001151AR,"Central de Nou Barris, Parc","Pl César Vallejo, 0",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430499.074330611 4587434.24828999),Magnolia grandiflora,430499.074,,47,2.1681112,8,DIFUSIÓ,SEGONA,694,,4587434.248,46
41.4354407,Magnòlia,0001152AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430497.639525587 4587430.86945494),Magnolia grandiflora,430497.640,,47,2.1680945,8,DIFUSIÓ,SEGONA,694,,4587430.869,47
41.4353527,Pi blanc,0001153AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Pino carrasco,CAN PEGUERA,POINT (430518.37478426 4587420.89729948),Pinus halepensis,430518.375,,47,2.1683438,8,DIFUSIÓ,EXEMPLAR,99,,4587420.897,48
41.4353073,Pi blanc,0001155AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Pino carrasco,CAN PEGUERA,POINT (430517.254818264 4587415.87082569),Pinus halepensis,430517.255,,47,2.1683309,8,GOTEIG,EXEMPLAR,99,,4587415.871,49
41.4352798,Pi blanc,0001157AR,"Central de Nou Barris, Parc","Pl César Vallejo, 1",,NOU BARRIS,ARBRE ZONA,Pino carrasco,CAN PEGUERA,POINT (430526.716928985 4587412.72338791),Pinus halepensis,430526.717,,47,2.1684446,8,GOTEIG,EXEMPLAR,99,,4587412.723,50
41.4358299,Pi blanc,0001158AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430495.386713115 4587474.10747318),Pinus halepensis,430495.387,,48,2.1680625,8,GOTEIG,TERCERA,99,,4587474.107,51
41.4357606,Pi blanc,0001159AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430502.614978735 4587466.34009791),Pinus halepensis,430502.615,,48,2.1681499,8,DIFUSIÓ,EXEMPLAR,99,,4587466.340,52
41.4357133,Pi blanc,0001160AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Pino carrasco,LA GUINEUETA,POINT (430507.004875644 4587461.04502159),Pinus halepensis,430507.005,,48,2.1682031,8,DIFUSIÓ,EXEMPLAR,99,,4587461.045,53
41.4356267,Magnòlia,0001161AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430495.768711925 4587451.54120921),Magnolia grandiflora,430495.769,,47,2.1680697,8,DIFUSIÓ,SEGONA,694,,4587451.541,54
41.4356156,Magnòlia,0001162AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430499.787638771 4587450.26360667),Magnolia grandiflora,430499.788,,47,2.1681179,8,DIFUSIÓ,SEGONA,694,,4587450.264,55
41.4355626,Tipuana,0001163AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Palo rosa; tipa blanca,CAN PEGUERA,POINT (430513.893295919 4587444.24708156),Tipuana tipu,430513.893,,47,2.1682875,8,DIFUSIÓ,EXEMPLAR,563,,4587444.247,56
41.4355725,Magnòlia,0001164AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 6",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,LA GUINEUETA,POINT (430518.072111375 4587445.3093407),Magnolia grandiflora,430518.072,,48,2.1683373,8,DIFUSIÓ,SEGONA,694,,4587445.309,57
41.4354483,Tipuana,0001165AR,"Central de Nou Barris, Parc","Pg Urrutia, 68",,NOU BARRIS,ARBRE ZONA,Palo rosa; tipa blanca,CAN PEGUERA,POINT (430476.731342959 4587431.91776858),Tipuana tipu,430476.731,,47,2.1678441,8,DIFUSIÓ,EXEMPLAR,563,,4587431.918,58
41.4354280,Magnòlia,0001166AR,"Central de Nou Barris, Parc","Pg Urrutia, 68",,NOU BARRIS,ARBRE ZONA,Magnolio; magnolio común,CAN PEGUERA,POINT (430477.919954395 4587429.64586096),Magnolia grandiflora,430477.920,,47,2.1678586,8,DIFUSIÓ,SEGONA,694,,4587429.646,59
41.4358038,Tipuana,0001173AR,"Central de Nou Barris, Parc","C\ Vilalba dels Arcs, 1",,NOU BARRIS,ARBRE ZONA,Palo rosa; tipa blanca,CAN PEGUERA,POINT (430484.986728788 4587471.30956454),Tipuana tipu,430484.987,,47,2.1679384,8,DIFUSIÓ,TERCERA,563,,4587471.310,60
41.4371881,washingtònia de Califòrnia,0001327AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 0",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430729.827404476 4587622.64925205),Washingtonia filifera,430729.827,,48,2.1708514,8,GOTEIG,EXEMPLAR,620,,4587622.649,61
41.4371379,washingtònia de Califòrnia,0001329AR,"Regidoria Nou Barris (Pi i Molist, c.)","E.A. Seu Dte Nou Barris, 1",,NOU BARRIS,PALMERA ZONA,Washingtonia; palmera de abanico de California,LA GUINEUETA,POINT (430764.126292643 4587616.7488677),Washingtonia filifera,430764.126,,48,2.1712625,8,GOTEIG,EXEMPLAR,620,,4587616.749,62
